"","x"
"1",12.1613906839317
"2",11.6205802786873
"3",11.3765878033424
"4",11.6426746287768
"5",11.4426461673839
"6",11.0376081411807
"7",11.159366816029
"8",11.2211864133473
"9",11.346423443795
"10",11.1314200241592
"11",11.1797178273336
"12",11.0210710492352
"13",11.3636485764301
"14",11.2885946719318
"15",11.2509259705296
"16",11.2637876205007
"17",11.1966392755382
"18",12.2245903857827
"19",11.2253704694369
"20",11.2315762576261
"21",11.37385171368
"22",11.2383592349976
"23",11.107854790315
"24",11.0359195837017
"25",11.360816809025
"26",12.0989159330153
"27",11.1011327085666
"28",11.2928714199641
"29",11.111180444506
"30",11.0217440372605
"31",11.0617349855746
"32",11.0435179386297
"33",11.9807714364878
"34",11.5421158480852
"35",11.3592878220886
"36",11.0288547973412
"37",12.1538892749145
"38",11.4573257229876
"39",12.3687451763543
"40",11.4722090878603
"41",11.0199858285389
"42",11.0454541358657
"43",11.1008320452669
"44",11.871500847808
"45",11.0584990770664
"46",11.0632958803677
"47",11.0317219300234
"48",11.4244186788137
"49",11.1223257262986
"50",11.6417651820067
"51",11.8249656539485
"52",12.139817066257
"53",11.228773616682
"54",12.141889603571
"55",11.3492547535094
"56",11.1233883379093
"57",11.8437227144589
"58",11.0465593732837
"59",12.0395064447943
"60",11.0183955457764
"61",11.2368739397759
"62",12.0912415834835
"63",11.3745378434817
"64",11.181464717615
"65",11.1957148117429
"66",12.1455442813551
"67",11.7047458332268
"68",11.6737047211248
"69",11.7876956776191
"70",11.6320262936125
"71",11.7632338523119
"72",11.63323289456
"73",11.7076256641071
"74",11.9629532969112
"75",11.7218287355405
"76",11.4838883677014
"77",11.4040789389166
"78",11.0180570524099
"79",11.1662744327432
"80",11.3916235037624
"81",11.1933111782042
"82",11.6183268051338
"83",11.4754884663722
"84",11.0675109026131
"85",11.1561280705871
"86",11.1845197795484
"87",11.0191535130044
"88",11.5351473080443
"89",11.1881790804971
"90",11.394775038172
"91",11.1732022855469
"92",11.2005953515601
"93",11.0452328264999
"94",11.1695473438885
"95",11.5182769355642
"96",11.5847730463302
"97",11.4349369864824
"98",11.2950394534616
"99",11.3151845482707
"100",11.0897968209914
"101",11.391645422021
"102",11.0176614696564
"103",11.3974477335218
"104",11.3679825903721
"105",12.1969347246563
"106",12.2819463068261
"107",12.2164651031907
"108",11.0957969225456
"109",11.2090063276201
"110",11.1223760973111
"111",11.376427666211
"112",11.7923667269761
"113",11.7356463386452
"114",11.3853577253854
"115",11.1664003956842
"116",11.0189175202346
"117",11.4700799526374
"118",11.2367199446327
"119",11.0343665187943
"120",11.1078141793828
"121",11.4251849994184
"122",11.0288635325707
"123",11.209897658438
"124",12.105774454845
"125",11.0869270021864
"126",11.3007987880409
"127",11.6277511609694
"128",11.1037433615588
"129",11.3060815612397
"130",11.3563272193559
"131",11.1852705954295
"132",11.4571464540572
"133",12.2435592124843
"134",11.091468915703
"135",11.1130225560578
"136",12.0259660635041
"137",11.5820244192423
"138",11.0925752703662
"139",11.0881955288991
"140",11.0399467763005
"141",11.3854915610997
"142",11.2184991320514
"143",11.4967586587393
"144",11.0986996236516
"145",11.0555149838497
"146",11.0958366247148
"147",11.5004535759457
"148",12.1205673730908
"149",11.4432257405753
"150",11.0316622764884
"151",11.3126619571826
"152",11.7032737214162
"153",11.3293888914808
"154",11.568875611861
"155",11.021919323344
"156",11.0288154150444
"157",12.0343681467208
"158",12.0003927465381
"159",11.4883501318746
"160",11.1594424987342
"161",11.619411685482
"162",11.2288544116426
"163",11.8245597726644
"164",11.0479526161355
"165",11.0212957244001
"166",11.0539303089809
"167",11.1780350446492
"168",11.0211170597885
"169",11.0575887985892
"170",11.0334948700063
"171",11.1493346790653
"172",11.9022730897896
"173",12.4454412678676
"174",11.6397915450177
"175",11.0637738443553
"176",11.4192906426953
"177",11.9879095197303
"178",11.2454546002731
"179",11.7248566995474
"180",11.634713217672
"181",11.3207066374535
