"","x"
"1",11.1699085670253
"2",10.9918126574491
"3",11.6650973494269
"4",11.3765999169832
"5",11.1665626155636
"6",11.3189083405142
"7",11.3800568729729
"8",11.4341382848735
"9",11.9477835776682
"10",11.3319366757664
"11",11.092886727516
"12",11.3801254049114
"13",11.5743097006584
"14",11.183462988318
"15",11.1137501089402
"16",11.3993071582544
"17",11.3356199737713
"18",11.0807391759987
"19",11.3432495852232
"20",11.3678091967541
"21",11.2075027812594
"22",11.7326910170552
"23",11.0736117842622
"24",11.2567951901646
"25",11.0953729250976
"26",11.0426808436937
"27",11.1383684541806
"28",10.9936873328775
"29",11.2074751933668
"30",11.3066249883651
"31",11.7512618076922
"32",11.2751095102916
"33",10.996936442589
"34",11.0673831219462
"35",11.0282681196431
"36",11.5755417723857
"37",11.0215243938182
"38",11.0825894006289
"39",11.1553823552235
"40",12.0804836064639
"41",11.1620480545023
"42",11.2009506813406
"43",11.277530737164
"44",11.2690651224122
"45",11.228251396735
"46",11.1631955378804
"47",10.994642690376
"48",11.0037029438165
"49",11.127432554491
"50",11.1253305904687
"51",11.0825588743724
"52",11.0977366195848
"53",11.0631770830719
"54",11.0052878026744
"55",11.0104552020464
"56",11.0399992780195
"57",11.065573923592
"58",11.0051333175926
"59",11.4900468422377
"60",12.0416301570064
"61",11.0205430458017
"62",11.1741251302787
"63",11.0628628269268
"64",10.9918362161664
"65",11.2022368847435
"66",11.2458723296976
"67",11.914492844614
"68",11.0547310688962
"69",11.0604124579982
"70",11.1864777110724
"71",10.9933317966629
"72",11.088922639457
"73",11.1026775018712
"74",11.094407172302
"75",11.3731909016327
"76",11.0490133002446
"77",12.0851023828286
"78",11.5759628762076
"79",11.0877611433221
"80",11.321981276095
"81",11.4848603461315
"82",11.9983766833295
"83",11.83604671394
"84",11.4629475987142
"85",11.1275338671486
"86",11.7054536864671
"87",11.5931236726358
"88",11.0077816638018
"89",11.2775642020667
"90",10.9991920711833
"91",10.9994917931548
"92",11.0260675843214
"93",11.7507188412921
"94",11.0713330782456
"95",11.4229677332617
"96",11.1472653525842
"97",11.2396794308938
"98",10.9952661597274
"99",11.242658083197
"100",11.2619248773267
"101",11.1602811966189
"102",11.8438725621529
