"","x"
"1",11.2820124736969
"2",11.1813375728332
"3",11.8252823398692
"4",11.2063681142819
"5",11.2141381899339
"6",11.2010136523483
"7",11.5003645031922
"8",11.3489294584045
"9",11.8259986475398
"10",11.1557365899858
"11",11.363227775373
"12",11.0927813212107
"13",11.5222214580231
"14",11.1923322800981
"15",11.4922223347914
"16",11.1874330954845
"17",11.2943689677896
"18",11.1288411218659
"19",11.3517388157506
"20",11.4425747376169
"21",11.5295342629011
"22",11.4087403147416
"23",11.2591422054335
"24",11.1169764768272
"25",10.9828135091253
"26",11.0055531121624
"27",10.9801793557602
"28",11.1334356279653
"29",11.7166321364681
"30",11.3903387080522
"31",12.1176909725506
"32",10.9774467690938
"33",11.1012318060552
"34",11.2203121804976
"35",11.3292996741599
"36",11.8128172408753
"37",11.6189428942942
"38",11.0088817762784
"39",11.0447835015796
"40",12.375425877069
"41",11.0224044889288
"42",11.1398167994194
"43",11.5234660117531
"44",11.2910074475116
"45",11.1962452355236
"46",11.4010970050845
"47",10.9817103717037
"48",11.0278815689499
"49",11.0258777009581
"50",10.9882390416687
"51",11.0198855928584
"52",10.9881180042818
"53",11.3297751797864
"54",11.1087389333059
"55",11.7554463943709
"56",10.9839415352163
"57",11.2252871655035
"58",11.048088060422
"59",10.9769311256893
"60",12.6445851938187
"61",11.9515233294387
"62",10.9756588668802
"63",11.3360004311937
"64",11.0377123092412
"65",11.7623847195502
"66",11.2461120435524
"67",12.1533347477245
"68",12.3952509344871
"69",11.5511739441982
"70",11.2003797897989
"71",11.3526748278908
"72",11.3891747265595
"73",10.979554149619
"74",11.3235652304331
"75",11.6022828148135
"76",11.1554247913862
"77",12.4351415375427
"78",11.5111432360589
"79",11.0392675054596
"80",11.3610831642985
"81",10.9857082560702
"82",12.1652522396113
"83",11.8844968059978
"84",10.9814290329106
"85",11.0018510955393
"86",11.3994626155421
"87",11.2347310926982
"88",11.1232960229672
"89",11.5036101321756
"90",10.9838993123522
"91",11.3787288479697
"92",11.0399973693537
"93",11.8099585139006
"94",11.050239095542
"95",11.4268348124129
"96",11.0388172138135
"97",11.5271963805957
"98",11.0104791810252
"99",11.3525298634532
"100",10.9840177137867
"101",10.9952708992637
"102",11.5839667823239
"103",11.0694038201617
"104",11.1633559936607
"105",11.4257007214968
"106",11.0354571111175
"107",10.9835963121334
"108",11.4922617491996
"109",11.617392815671
"110",11.8327673478817
"111",11.0306445878555
"112",11.5631509615305
"113",11.6729286389637
"114",11.0151047938256
"115",11.9186291982135
"116",11.9721468257317
"117",11.3407582601986
"118",11.0937413267527
"119",11.1962137714305
"120",11.2995285466551
"121",11.4155126446086
"122",11.0205796674995
"123",11.0100603448752
"124",11.9821091412882
"125",10.9756433680257
"126",11.3132102552399
"127",10.992795058885
"128",11.0407227472651
"129",10.9836624410551
"130",11.1485376756291
"131",11.5944759848928
"132",10.978553690447
"133",11.0598688032122
"134",11.0311441439452
"135",11.0226161901884
"136",11.2521700271443
"137",11.0947698529526
"138",11.0575070262969
"139",12.4605887987913
"140",11.0446168040238
"141",11.6529728448081
"142",11.7169714385695
"143",11.4617312197723
"144",10.9865810351417
"145",11.5103283210154
"146",11.0007766315891
"147",12.187152984988
"148",11.3150907590292
"149",11.6473570562739
"150",11.0672504711369
"151",12.3128500108616
"152",10.9933769057642
"153",10.9792542355321
"154",11.8169365234632
"155",11.0570673235206
"156",11.1273648417624
"157",11.1571973627856
"158",11.0494415866903
"159",11.7549255286747
"160",11.0435060443116
"161",11.2029138717575
"162",11.1432563876205
"163",11.4887930515556
"164",11.0719183992738
"165",11.7706577379479
"166",11.0008056096785
"167",11.5185791761934
"168",11.0339332365959
"169",11.3086860407471
"170",11.0697341301275
"171",11.4397108290736
"172",11.0774429683351
"173",12.4014005375534
"174",10.980309438335
"175",10.9876298545225
"176",11.0772382358328
"177",11.2564449264134
"178",11.0259503614574
"179",11.0366297205853
"180",11.0388843120337
"181",11.5369217587882
"182",10.9888214352711
"183",11.0485117809369
"184",11.6492444064203
"185",11.1080726438469
"186",10.9963514410881
"187",12.0104190293678
"188",11.0396614570098
"189",11.6439782846741
"190",10.981520625245
"191",11.4948286500943
"192",11.197714783285
"193",10.9770451849888
"194",11.1285099275947
"195",11.6519540864711
"196",11.2175066314629
"197",11.2300426152098
"198",11.2159628857592
"199",11.7791116177578
"200",11.0170676567522
"201",11.186228877004
"202",11.136457685201
"203",11.0178256657163
"204",11.0889309874864
"205",11.180256452687
"206",10.9797387288322
"207",12.1116969870305
"208",12.590171760672
"209",12.4698821466388
"210",11.3286003340358
"211",11.0730757758636
"212",11.0685782420211
"213",12.0057542563807
"214",10.9821172283147
"215",11.2126515250814
"216",11.5717654462533
"217",10.9788076787102
"218",11.9933498827314
"219",12.5251036874688
"220",11.1675803676068
"221",11.0140287510631
"222",11.0186935802325
"223",11.1476183378967
"224",11.3661951470109
"225",11.3689441279752
"226",10.976972952256
"227",11.1714646158815
"228",11.4216811990069
"229",11.559716735206
"230",11.7364334762974
"231",10.9942430362266
"232",11.1834303527176
"233",12.0288949543184
"234",12.032336623312
"235",11.1296008138995
"236",11.02116290404
"237",11.4782394396202
"238",11.681929727103
"239",11.437536263489
"240",11.7661098529254
"241",11.4010360790913
"242",10.9759173151583
"243",11.5224820233592
"244",11.0215745839596
"245",11.0180406323262
"246",11.5713224686464
"247",11.4893203307201
"248",11.3121086732479
"249",11.1736135347528
"250",11.0595909508256
"251",10.9889486963784
"252",11.4397513488802
"253",11.0002398321312
"254",11.294472659267
"255",11.1498972011888
"256",10.9885872015135
"257",11.7381850507392
"258",11.5325756710127
"259",11.7144487234682
"260",11.2547106188165
"261",12.170806929312
"262",11.6962229153658
"263",11.872554630653
"264",11.2074683533786
"265",11.9589268134899
"266",11.0439277109569
"267",11.943450880068
"268",10.976232922109
"269",11.0734955857756
"270",10.9765969869044
"271",11.1665125114668
"272",11.3762064284767
"273",11.0739164324076
"274",11.1817065805589
"275",10.9765023935127
"276",10.9964012619811
"277",11.1346601436401
"278",12.2319754298938
"279",11.5616839198037
"280",12.5582264381526
"281",11.8151513631299
"282",12.082194713556
"283",11.1785210618013
"284",11.1841785400847
"285",11.3783429900862
"286",10.9848163864822
"287",10.9807757304784
"288",11.0280476205881
"289",11.068297672016
"290",11.0135739056818
"291",11.624827654785
"292",11.3017381040223
"293",11.6761868750798
"294",11.2054682882381
"295",11.2092927782206
"296",11.0875628312038
"297",10.9882809824511
"298",12.6848378372623
"299",10.9771450296401
"300",10.9774978326865
"301",11.317669295703
"302",10.9928420274077
"303",11.1200150616542
"304",12.2994546866763
"305",10.9817188478008
"306",11.3845331814473
"307",11.7929114858047
"308",11.2048635780233
"309",11.3871449546911
"310",11.3001072027868
"311",11.0843022125422
"312",10.9951408105042
"313",11.7733537464498
"314",11.2164898412838
"315",11.1723403700445
"316",11.017938981906
"317",11.7480777786976
"318",11.0149057759828
"319",10.9767530690747
"320",11.1201020908597
"321",11.0006860528191
"322",11.009843290723
"323",11.1590805099525
"324",11.1913246171776
"325",11.0280369421833
"326",10.9845762586985
"327",10.9846157808057
"328",11.1379226132103
"329",11.8063494680482
"330",11.0183284556511
"331",11.5353374614078
"332",11.0231356813881
"333",11.4078124052807
"334",11.621818596958
"335",11.1987241891991
"336",11.3925461831792
"337",11.5257599526562
"338",11.0232988884068
"339",12.4421913943176
"340",11.1358050305654
"341",10.978482754658
"342",10.9860729306845
"343",11.2596161340014
"344",11.0750327983866
"345",11.2449787793283
"346",10.9854951663644
"347",11.1293411921349
"348",10.9767190560628
"349",11.0860407433416
"350",11.3587380639381
"351",11.2028679793435
"352",10.975688649241
"353",11.0611109437249
"354",12.3270519376105
"355",11.7774424619245
"356",11.2489224935598
"357",11.3224613357153
"358",11.3558550228084
"359",11.4190968450098
"360",11.1889173523568
"361",11.0954728132419
"362",11.1039261707175
"363",11.0464077368357
"364",11.2347452241304
"365",11.6217766770992
"366",11.0409279605809
"367",12.4739884222863
"368",11.2574396190097
"369",10.9836912324246
"370",10.9782306009283
"371",11.0369319468924
"372",11.0360822741682
"373",12.081837546858
"374",11.1459014997118
"375",11.9224673978871
"376",11.1106815069645
"377",12.389878612702
"378",11.3850975045545
"379",12.0387985135083
"380",11.015044808326
"381",11.3899221043134
"382",11.1175962930703
"383",11.1869409745935
"384",11.174061507614
"385",12.1381532842978
"386",11.1701225232754
"387",11.7251990784977
"388",11.5768584873569
"389",11.0863397433408
"390",11.5634614420046
"391",11.3919530554993
"392",11.0321439869221
"393",11.2162108729642
"394",10.977117975997
"395",10.9877546045581
"396",11.1296076337402
"397",10.9793022259686
"398",12.4316809327521
"399",11.0891962691928
"400",11.3083040253784
"401",11.1780547569289
"402",11.0844951429487
"403",11.5584459575077
"404",11.1215006273582
"405",11.3125892227928
"406",12.020650487185
"407",11.4961558069882
"408",11.3748370045309
"409",11.5707729476862
"410",11.7726838498617
"411",11.0728484773207
"412",12.4539131738912
"413",10.9949365835493
"414",11.426952502335
"415",11.189786905972
"416",11.3688876006989
"417",10.9779040945817
"418",10.9894620289092
"419",10.9874796936837
"420",10.9859409962736
"421",11.0050208727727
"422",11.0676289248418
"423",11.0318250157149
"424",10.9892030319213
"425",12.1497877492376
"426",11.0555782939616
"427",11.3571272354185
"428",11.9615778348824
"429",11.5935439707556
"430",11.1737538043191
"431",11.0534436651422
"432",11.0360188091743
"433",12.2018986929959
"434",11.488980709767
"435",11.7509208224965
"436",11.0639401332316
"437",11.0532644531437
"438",11.2073898255334
"439",11.0333441749733
"440",10.9777811990466
"441",11.5161230495495
"442",10.9996526468976
"443",11.5726872625866
"444",10.9901438600342
"445",10.9844027744635
"446",10.982806015637
"447",11.1680718896145
"448",11.5254754260813
"449",11.4441790117278
"450",12.2933281092918
"451",11.9864046717669
"452",10.9872744212542
"453",11.2973459764466
"454",11.0249522002995
"455",11.4556137276609
"456",10.9835034559325
"457",11.1821896137575
"458",11.7300311306356
"459",12.397480289828
"460",11.0400056021364
"461",11.0033824612928
"462",11.0485220286149
"463",11.5332159324908
"464",10.978022518434
"465",11.2346266989542
"466",10.9808906619818
"467",11.1656555677178
"468",11.0979052007273
"469",10.9988278888398
